# DPlus_Hosts.txt
# Updated 03/08/2022 Additional information at end of file.
REF000 ref000.xlxreflector.org
REF001	ref001.dstargateway.org
REF002	ref002.dstargateway.org
REF003	ref003.dstargateway.org
REF004	ref004.dstargateway.org
REF005	ref005.dstargateway.org
REF006	ref006.dstargateway.org
REF007	ref007.dstargateway.org
REF008	ref008.dstargateway.org
REF009	ref009.dstargateway.org
REF010	ref010.dstargateway.org
REF011	ref011.dstargateway.org
REF012 ref012.dstargateway.org
REF013 xlx013.homeip.net
REF014	ref014.dstargateway.org
REF015	ref015.dstargateway.org
REF016	ref016.dstargateway.org
REF017	ref017.dstargateway.org
REF018	ref018.dstargateway.org
REF019	ref019.dstargateway.org
REF020	ref020.dstargateway.org
REF021	xlx.projekt-pegasus.net
REF022	xrf022.tms-it.net
REF023	ref023.dstargateway.org
REF024	ref024.dstargateway.org
REF025	ref025.dstargateway.org
REF026	ref026.dstargateway.org
REF027	ref027.dstargateway.org
REF028	ref028.dstargateway.org
REF029	ref029.dstargateway.org
REF030	ref030.dstargateway.org
REF031	ref031.dstargateway.org
REF032	ref032.dstargateway.org
REF033	ref033.dstargateway.org
REF034	dcs034.xreflector.net
REF035	ref035.dstargateway.org
REF036	ref036.dstargateway.org
REF037	ref037.dstargateway.org
REF038	ref038.dstargateway.org
REF039	collector.webandcloud.net
REF040	xrf040.dyndns.org
REF041	ref041.dstargateway.org
REF042	ref042.dstargateway.org
REF043	ref043.dstargateway.org
REF044	xlx044.va3uv.com
REF045	ref045.dstargateway.org
REF046	ref046.dstargateway.org
REF047	ref047.dstargateway.org
REF048	ref048.dstargateway.org
REF050	ref050.dstargateway.org
REF051	ref051.dstargateway.org
REF052	ref052.dstargateway.org
REF053	ref053.dstargateway.org
REF054	ref054.dstargateway.org
REF055	ref055.dstargateway.org
REF056	ref056.dstargateway.org
REF057	ref057.dstargateway.org
REF058	ref058.dstargateway.org
REF059	ref059.dstargateway.org
REF060	ref060.dstargateway.org
REF061	ref061.dstargateway.org
REF062	ref062.dstargateway.org
REF063	ref063.dstargateway.org
REF064	ref064.dstargateway.org
REF065	ref065.dstargateway.org
REF066	ref066.dstargateway.org
REF067	ref067.dstargateway.org
REF068	ref068.dstargateway.org
REF069	ref069.dstargateway.org
REF070	ref070.dstargateway.org
REF071	ref071.dstargateway.org
REF072	ref072.dstargateway.org
REF073	ref073.dstargateway.org
REF074	ref074.dstargateway.org
REF075	ref075.dstargateway.org
REF076 ref076.dstargateway.org
REF077 ref077.dstargateway.org
REF078 ref078.dstargateway.org
REF079 ref079.dstargateway.org
REF080	ref080.dstargateway.org
REF081 ref081.dstargateway.org
REF082	ref082.dstargateway.org
REF084	ref084.dstargateway.org
REF085	ref085.dstargateway.org
REF086 xlx086.ddns.net
REF087	ref087.dstargateway.org
REF088	ref088.dstargateway.org
REF089 ref089.dstargateway.org
REF090 ref090.dstargateway.org
REF091 ref091.dstargateway.org
REF092	ref092.dstargateway.org
REF093	ref093.dstargateway.org
REF094	ref094.dstargateway.org
REF100 ref100.xlxreflector.org
REF101 ref101.xlxreflector.org
REF102 ref102.xlxreflector.org
REF103 ref103.xlxreflector.org
REF104 ref104.xlxreflector.org
REF105	xrf105.fr
REF107	114.115.167.98
REF108	ja0mms.jarl.tokyo
REF109 jp109.jarl.tokyo
REF121	xlx.kc2idb.net
REF125	xlx125.dyndns.hu
REF127	pj2man.hopto.org
REF128 jdcc.pgw.jp
REF132 193.106.216.154
REF134	159.89.176.86
REF136 xlx136.f5.si
REF140	xlx140.nix.pt
REF145 178.59.23.138
REF147 46.41.1.127
REF160	xrf160.xreflector-jp.org
REF170 dvham.mooo.com
REF173 xlx.lagrandefl.com
REF183	omgdstar.tghhc.com
REF191 xlx191.taniqrk5.com
REF201 xlx201.uk
REF204	xlx204.ph0dv.nl
REF207 xlx.br2sy.net
REF208 ref208.f5kav.fr
REF227 xrf227.hamnet.ro
REF229	dstar.hamnet.xyz
REF230	ref.dstar.cz
REF241	xlxrem.xreflector.es
REF258	xlx258-n0mis.ddns.net
REF262	xlx.prgm.org
REF264 52.2.131.118
REF268	xlx268.from-ct.com
REF270 158.64.26.132
REF287 xlx287.zl2wl.nz
REF290	xlx.digitalsicilia.it
REF295	xlx295.dyndns.org
REF300	ref300.xlxreflector.org
REF305 xlx.m5adi.com
REF307	xlx307.ddns.net
REF311 78.47.206.12
REF312	xlx.dmr-marc.net
REF313 xlx313.openstd.net
REF317 107.170.195.225
REF329	xrf329.aa0.netvolante.jp
REF331 xlx.vandh.us
REF358	xlx358.ddns.net
REF359	xlx359.ddns.net
REF360	xrf360.xreflector-jp.org
REF363 xlx.indioconf.com
REF365	xrf365.dip.jp
REF370 188.213.168.24
REF371	xlx371.selfip.com	
REF389	xlxdmr.duckdns.org
REF400 c4fm.ysfreflector.de
REF402 xrf402.rfg3.us
REF404	xlx.bendiksverden.net
REF405 xrf405.va3uv.com
REF407 n7wwl.ddns.net
REF410	xrf410.n5amd.com
REF420	xlx.420reflector.net
REF435	veb986.mydns.jp
REF436 xlx436.mydns.jp
REF444 ref444.pa3dfn.nl
REF450 ref450.xlxreflector.org
REF451 451.ds6.com
REF452 452.ds6.com
REF456 xlx456.de
REF466 sddstar.serveftp.com
REF477	xlx.hubnetwork.uk
REF501	reflector.tomasone.com
REF502	xlx502.xlx.ar-dns.net
REF508	185.188.4.15
REF510 xrf510.xreflector-jp.org
REF515	xrf515.xreflector-jp.org
REF518 176.9.1.168
REF519	xrf519.ve3zin.com
REF520	xlx.dtdxa.com
REF522	xlx.lucifernet.com
REF542 xlxrpi.duckdns.org
REF544	xrf544.xreflector-jp.org
REF567 xlx567.dstarthailand.com
REF568	af234141.ppp.asahi-net.or.jp
REF570 104.128.230.153
REF600 xlx600.dvscotland.net
REF606	xrf606.org.uk
REF610 103.1.213.18
REF620	xlx620.starfield.link
REF626	626.onnz.net
REF650 acr.wjg.jp
REF651 66.240.165.26
